126415614616154112,b'Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is',positive,apple
126311981564178432,b'---\xc2\xbb RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?',positive,apple
126301956951117826,"b""@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN""",positive,apple
126287654093471745,b'At the bus with my iPhone ;) thxx @apple',positive,apple
126284506360578049,"b'@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.'",positive,apple
126263834968211456,b'NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad',positive,apple
126256230397259776,b'@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA',positive,apple
126195522691280896,b'@bkad5161 than apologize to @apple ;)',positive,apple
126180209501286400,b'Lmfao look at the argument I had with Siri !!\n@ijustine @apple http://t.co/D4VjL7SI',positive,apple
126164430546403328,b'Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s',positive,apple
126140794078892033,"b""Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now""",positive,apple
126134400466419712,"b""Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -""",positive,apple
126116898051076096,"b'#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple'",positive,apple
126116614495154176,b'Well at least the @apple store has amazing call waiting music! #need4s',positive,apple
126112836219973632,b'#sweet... #apple replaced my glass #probono. thank you @apple',positive,apple
126107965991297024,b'Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad',positive,apple
126104732426186752,"b'loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology'",positive,apple
126097426493878272,"b""I'm loving this new IOS5 update :) @apple""",positive,apple
126095744531832832,b'Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...',positive,apple
126084907343691776,b'Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.',positive,apple
126076238375817216,b'#iCloud set up was flawless and works like a champ! To the Cloud @Apple',positive,apple
126075534894571520,"b""@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!""",positive,apple
126064519943426048,b'@apple loving the new IOS5 upgrade for the iPhone!',positive,apple
126063358037340161,b'Once again getting great customer service from the @apple store at millenia mall.',positive,apple
126059405941809152,b'Is it just me or is #iOS5 faster for the iPad? @apple',positive,apple
126057030996852737,b'making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH',positive,apple
126049183865114624,b'So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!',positive,apple
126040074595999746,b'Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1',positive,apple
126034495991328768,b'So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.',positive,apple
126026756623831041,b'@Apple Safari Reader owns the worldwide web',positive,apple
126019393460244481,b'I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out',positive,apple
126009748020658177,b'Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp',positive,apple
126008369562652672,"b'Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)'",positive,apple
126002597063696384,b'i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone',positive,apple
125999676972470272,"b'Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w'",positive,apple
125978568726560768,"b'4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!'",positive,apple
125974505385500672,"b"".@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear""",positive,apple
125959059957485569,b'I just sent my grandma a post card using my #CardsApp thanks @Apple',positive,apple
125947912306954240,"b'@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it\'s still alive.'",positive,apple
125940394566483968,"b'God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)'",positive,apple
125925618486489088,b'Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)',positive,apple
125924446430183425,b'Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.',positive,apple
125922999651139584,b'One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)',positive,apple
125902301931126785,b'RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple',positive,apple
125901202591461376,b'Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple',positive,apple
125900497327636480,b'Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone',positive,apple
125850288488841217,"b'Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone'",positive,apple
125840039031738368,b'@apple your simply the best.',positive,apple
125794931439702016,"b""I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's""",positive,apple
125728717942161408,"b""Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness""",positive,apple
125722746100531200,b'Loving the new iPod update @apple',positive,apple
125717622728818688,b'@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.',positive,apple
125713935344214016,b'@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed',positive,apple
125712433087123456,b'Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT',positive,apple
125708639607599104,b'Loving my new #iPhone4S thanks @apple for #ios5',positive,apple
125681742760771584,b'@apple Siri is amazing',positive,apple
125677424565424128,"b'Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple'",positive,apple
125667241978114048,"b'So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac'",positive,apple
125664375364255744,b'I \xe2\x99\xa5 @Apple http://t.co/a8on3IAa',positive,apple
125662399217930240,b'@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry',positive,apple
125652668080336896,b'Loving #iOS5 !! #awesome @Apple',positive,apple
125648027045199873,"b'RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}'",positive,apple
125643107260829697,b'@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??',positive,apple
125628199269961729,"b""@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?""",positive,apple
125623745284018176,"b'@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done.'",positive,apple
125618466353983488,"b""RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...""",positive,apple
125610372727193601,"b""Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s""",positive,apple
125596541028282369,b'Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.',positive,apple
125585606100267008,b'Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D',positive,apple
125562428200202240,b'RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple',positive,apple
125561950376701952,b'the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple',positive,apple
125550135911518209,"b""My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple.""",positive,apple
125547297072357376,b'It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!',positive,apple
125539788546781185,b'RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple',positive,apple
125537993942515712,b'@RickySinghPT got a new backside for my eye phone! V impressed with @apple',positive,apple
125537578974851072,b'#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things',positive,apple
125524107386302465,b'Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!',positive,apple
125501576952553472,"b""Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple""",positive,apple
125501281753251840,b'@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required',positive,apple
125495491701125120,b'New iOS 5 update is THE BEST. iloveyou @apple',positive,apple
125459338524499969,"b'Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson.'",positive,apple
125455260801179648,"b'I absolutely love my iPhone 4S. Thank you, Steve and @apple.'",positive,apple
125423290767507456,"b""@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s""",positive,apple
125416879035658240,"b'dammit, listening to siri is making me want to upgrade. well played @apple.'",positive,apple
125407532893224962,"b""Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature""",positive,apple
125402412147146752,b'@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!',positive,apple
125393816470568961,b'#iOS5 update submitted to @apple! Thanks for all the support!',positive,apple
125356807626559488,b'Awesome service from the @apple store in pc. Thanks chris!',positive,apple
125338216411828224,b'I am crazy about #iOS5 . The photo cropping is the best! @apple',positive,apple
125333598197911552,b'.@apple thanks for fixing this... http://t.co/wTj1ogDO',positive,apple
125313088160411649,b'@apple has changed life.',positive,apple
125309946723188736,"b""Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!""",positive,apple
125279987254300672,"b""The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple""",positive,apple
125256305647693825,b'#iOs5 is nice and as it had to be ! Thanks @Apple',positive,apple
125252188065902592,b'Good support fm Kevin @apple #Bellevue store 4 biz customers TY!',positive,apple
125238017299451905,"b""@Apple: Siri is amazing!!! I'm in love!""",positive,apple
125165176772247552,b'Love love love iOS 5!! @apple',positive,apple
126418790706712576,b'RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...',negative,apple
126417285559762944,"b'RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..'",negative,apple
126416915664084992,"b'@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..'",negative,apple
126411162622496768,b'@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5',negative,apple
126410591949697024,b'@apple needs to hurry up and release #iTunesMatch',negative,apple
126409696553861121,b'Why is  #Siri always down @apple',negative,apple
126408864387182593,b'I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple',negative,apple
126408052525105153,"b'@apple AirDrop #fail - Immediate ""declined your request."" every time'",negative,apple
126405185630253056,b'Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s',negative,apple
126405040809312256,b'The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss',negative,apple
126400637930979329,"b""Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple""",negative,apple
126393204550537216,b'FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.',negative,apple
126392402083708928,"b""Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.""",negative,apple
126385036441296896,"b'shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild.'",negative,apple
126382959711358976,"b"". @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!""",negative,apple
126382051661328385,b'Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance',negative,apple
126381519513194497,b'Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity',negative,apple
126380588822298625,"b""I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!""",negative,apple
126377298650861568,"b""@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.""",negative,apple
126375381249966080,b'@rogerweir no but I have the option of a  replacement iPhone 4s ?\nNot sure if I want one after having 2 duff iPhones.\n@O2 @iphone4s @apple',negative,apple
126372694118768640,b'So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?',negative,apple
126372040696541184,"b""You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?""",negative,apple
126363154837020672,b'removing all @apple shit.',negative,apple
126361483432038400,"b""So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple""",negative,apple
126358301393956866,"b""@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em""",negative,apple
126358272084152320,b'Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise',negative,apple
126357580741226496,"b""@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :(""",negative,apple
126357227727626240,"b""@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.""",negative,apple
126354628999778305,"b""Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat""",negative,apple
126351972948393984,b'@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO',negative,apple
126348169826148352,"b""Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.""",negative,apple
126344426854416385,"b'@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv'",negative,apple
126343931117047808,"b""Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!""",negative,apple
126343679785959424,"b'@phxguy88 @Apple @BGR That\'s why all the ppl who stand in line for hrs to get the ""newest"" model are suckers...'",negative,apple
126343214805426176,b'Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.',negative,apple
126334597431697408,b'@APPLE Wow @MOTOROLA Just crushed your dreams....',negative,apple
126331327271284736,"b'Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR'",negative,apple
126327808803880960,"b""@apple, \nNo, I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now""",negative,apple
126324573384871936,"b""@Apple, on the #iPad with #iOS5, why has the Messages Icon been included when it can't be used?""",negative,apple
126324389741473792,b'@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T',negative,apple
126324077513293824,b'Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii',negative,apple
126321169468100609,b'@apple why is my iPhone battery so crappy #fail',negative,apple
126320033369563138,b'My @Apple @macbook keyboard will not type :(',negative,apple
126310645443461121,"b""Why doesn't @apple iCloud sync Stickies? They've always been around, just nothing every progressed w/ them!! Why apple why?  @gruber""",negative,apple
126309616391950336,"b'@apple, your new ""Save a Version"" function in Pages is absolutely the most awful, interrupting, counter-intuitive piece of crap in the world'",negative,apple
126307071984545793,b'I hate my @apple computer.  Thats 3500 dollars down the drain.',negative,apple
126302386644975616,b'@apple my iPhone is charging very slowly!!!!!',negative,apple
126297326565330944,"b""@apple Wish I could pick month, day, and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!""",negative,apple
126292335540699136,"b'@Apple iTunes is the worst program ever. For such a great phone, you make some awful software.'",negative,apple
126286814578348032,b'One would think the voice recognition on the @apple tech support line would work a little better.',negative,apple
126283602571964416,"b""@apple $319 to repair my iPad 2, Apple you've lost me and my $700 a year, Android here I come!""",negative,apple
126281019476291585,"b'@azee1v1 @apple @umber Proper consolidation, proper syncing, stop losing my PURCHASED items, checkboxes that do what you think they will do.'",negative,apple
126280555980529664,b'@AsimRang @apple @umber the desktop app is wack though',negative,apple
126279811151831042,b'I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm',negative,apple
126257645282799616,"b""Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #""",negative,apple
126251052667375616,b'#DontBeMadAtMeBecause #Android is by far better than @Apple',negative,apple
126247557339947008,b'@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound.',negative,apple
126243680129523712,b'@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt',negative,apple
126240605419487232,b'Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.',negative,apple
126238223537152001,b'Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!',negative,apple
126221894126022656,"b""Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???""",negative,apple
126189036644728832,b'fuck u @apple',negative,apple
126188946974720000,b'oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it',negative,apple
126188717902802944,b'why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple',negative,apple
126188686453907457,b'. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed',negative,apple
126167083334643713,b'Like @apple da fuck is this shit?  http://t.co/nb4DHlSg',negative,apple
126163250172801024,b'Damn it @Apple!! Whatchu done to my phone??',negative,apple
126158846375903233,b'Samsung seeks iPhone 4S ban in Japan and Australia\nPatent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk',negative,apple
126155291288023040,"b'@apple, why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail'",negative,apple
126153311521996800,b'@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??',negative,apple
126150581558591488,"b'@apple the reservation system not working, shows no products avail let alone iphone 4s I had the site open in 3 browsers at 9 PM and nothing'",negative,apple
126143926523539457,b'@albertmal88 remember @apple is evil. #icloud entering the #dropbox market',negative,apple
126141380409036800,b'I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple',negative,apple
126141077131497472,b'9% now on my second full charge of the day. Pissed @Apple',negative,apple
126132919117938689,b'RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!',negative,apple
126131535211536384,"b""I'm wit chu!! \xe2\x80\x9c@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!\xe2\x80\x9d""",negative,apple
126129582326816769,"b""iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use.""",negative,apple
126128599030956032,"b'De\xc3\xa1r iCloud I HATE U , AND I HOPE YOU DIE , YOU ARE THE WORST FUCKING INVENTION IN THE WORLD , FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs'",negative,apple
126127465155403777,b'i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple',negative,apple
126118222746497025,b'Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!',negative,apple
126106964420857857,b'@apple u guys are gay',negative,apple
126099775417364480,"b'Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE, Y RESTRICTIONS ON MY SMS?  Y NO TEXTS.... #iOS5 #iOS5atemydingo'",negative,apple
126096173198082048,b'none of my apps work after the new ios from @apple. what do i do?!?',negative,apple
126094194312876032,"b'Seemingly endless loop of calls to @apple, @ups, @verizonwireless to investigate my missing #iphone4s. #crankywithnophone'",negative,apple
126089287660863488,"b""@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!""",negative,apple
126088404084588546,b'@zombiebomber have been on the phone with @verizonwireless and @apple pretty much ever since then. Really annoyed.',negative,apple
126085893353250816,"b'@chascouponmom @apple I get they are busy w/ the new phone, but I just wanted to buy a stylus. they made me wait forever outside & never'",negative,apple
126084068298334208,"b""@apple @iphone Please deliver my daughter's i4s, she is driving me nuts #iphone""",negative,apple
126079672386723840,"b""Hey @apple, the SMS full message is complete shit. Yes, I'm annoyed.""",negative,apple
126075115686465536,b'Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6',negative,apple
126073520504569858,"b'@Apple your service experience is really fucking slipping (except for cute, eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg'",negative,apple
126068917012668416,b'What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration.',negative,apple
126063215842037760,b'Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh',negative,apple
126054048972537856,b'Where is my iPhone!?!?!?!\n@apple',negative,apple
126053722966069248,b'@apple battery life suck on iOS 5',negative,apple
126050114518261760,b'An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.',negative,apple
126044756320075776,"b""@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?""",negative,apple
126044425964109824,"b""Hey @apple why can't I share a reminder list from my iPhone?\nAlso why can't I login to the iCloud webpage to modify sharing from my phone?""",negative,apple
126037831301869568,b'Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade',negative,apple
126034507475337216,"b""Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f""",negative,apple
126031969166434304,"b'GAH. @apple iOS 5 opens text messages painfully slow, on top of 3 restore attempts 2 succeed. Early adopterness gets better of me.'",negative,apple
126030936084189184,b'Dear @apple: Why did all my PDFs and ePub files disappear from ibooks in my iPhone post ios5 upgrade? This hurts. #3GS #needsomethingtoread',negative,apple
126029733325582336,b'\xe2\x80\x9c@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.\xe2\x80\x9d &lt;&lt; check Settings: 8 times more App usage in iOS 5',negative,apple
126021108641181696,b'As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad',negative,apple
126018120983904256,"b""I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN""",negative,apple
126016585348558848,"b'\xe2\x80\x9c@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.\xe2\x80\x9d in NZ?'",negative,apple
126014999444467712,"b'I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.'",negative,apple
126012822936231936,b'Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall',negative,apple
126008913400303616,b'RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.',negative,apple
126006966312108032,"b'Updating to IOS5 with my regular iphone4 just made it slower and messed up.. @apple give me a free 4S and we can call it even, thanks'",negative,apple
126006116168642560,"b'@apple If you want to know what customers think dont send updates with the ""noreply"" return address. Who invented that anyway. #useless'",negative,apple
126003967552524288,"b'Every time I try the voice control on my iPod Touch to send an iMessage, it starts playing ""Who Knew"" by Pink.  Still not Flawless @Apple'",negative,apple
126001775626031105,"b""should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience""",negative,apple
126001635162992640,b'Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL',negative,apple
125999655011098624,"b""RT @ScottDugas: Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade  ...""",negative,apple
125996379913986048,b'@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx',negative,apple
125995264325599233,"b'""Waiting for items to copy"" in Itunes after everything DID copy goes on, and on, and on.  Come on @Apple, what the hell?'",negative,apple
125994965183635456,"b""@Apple unhappy again with service/product quality. Won't buy @Apple again.""",negative,apple
125994596336533504,b'Lies @apple. the battery on this new iPhone4S is definitely not any better.',negative,apple
125989051101741056,"b'\xe2\x80\x9c@philipgrey: dear @apple, why you gotta go change the way &lt;input type=""number""&gt; is handled out of the blue?\xe2\x80\x9d'",negative,apple
125987979784224770,"b""Been on hold with @apple customer service for 25 minutes. Wow, lt's like they're #timewarnercable.""",negative,apple
